qid,tid,,
101,23,,"insert into question_tag (qid, tid) values(101, 23);"
102,11,,"insert into question_tag (qid, tid) values(102, 11);"
103,10,,"insert into question_tag (qid, tid) values(103, 10);"
104,22,,"insert into question_tag (qid, tid) values(104, 22);"
105,36,,"insert into question_tag (qid, tid) values(105, 36);"
106,2,,"insert into question_tag (qid, tid) values(106, 2);"
107,23,,"insert into question_tag (qid, tid) values(107, 23);"
108,32,,"insert into question_tag (qid, tid) values(108, 32);"
109,15,,"insert into question_tag (qid, tid) values(109, 15);"
110,2,,"insert into question_tag (qid, tid) values(110, 2);"
111,20,,"insert into question_tag (qid, tid) values(111, 20);"
112,9,,"insert into question_tag (qid, tid) values(112, 9);"
113,15,,"insert into question_tag (qid, tid) values(113, 15);"
114,35,,"insert into question_tag (qid, tid) values(114, 35);"
115,18,,"insert into question_tag (qid, tid) values(115, 18);"
116,32,,"insert into question_tag (qid, tid) values(116, 32);"
117,4,,"insert into question_tag (qid, tid) values(117, 4);"
118,14,,"insert into question_tag (qid, tid) values(118, 14);"
119,12,,"insert into question_tag (qid, tid) values(119, 12);"
120,31,,"insert into question_tag (qid, tid) values(120, 31);"
121,8,,"insert into question_tag (qid, tid) values(121, 8);"
122,19,,"insert into question_tag (qid, tid) values(122, 19);"
123,3,,"insert into question_tag (qid, tid) values(123, 3);"
124,25,,"insert into question_tag (qid, tid) values(124, 25);"
125,32,,"insert into question_tag (qid, tid) values(125, 32);"
126,15,,"insert into question_tag (qid, tid) values(126, 15);"
127,32,,"insert into question_tag (qid, tid) values(127, 32);"
128,36,,"insert into question_tag (qid, tid) values(128, 36);"
129,25,,"insert into question_tag (qid, tid) values(129, 25);"
130,38,,"insert into question_tag (qid, tid) values(130, 38);"
131,1,,"insert into question_tag (qid, tid) values(131, 1);"
132,13,,"insert into question_tag (qid, tid) values(132, 13);"
133,29,,"insert into question_tag (qid, tid) values(133, 29);"
134,29,,"insert into question_tag (qid, tid) values(134, 29);"
135,22,,"insert into question_tag (qid, tid) values(135, 22);"
136,37,,"insert into question_tag (qid, tid) values(136, 37);"
137,37,,"insert into question_tag (qid, tid) values(137, 37);"
138,23,,"insert into question_tag (qid, tid) values(138, 23);"
139,8,,"insert into question_tag (qid, tid) values(139, 8);"
140,31,,"insert into question_tag (qid, tid) values(140, 31);"
141,34,,"insert into question_tag (qid, tid) values(141, 34);"
142,36,,"insert into question_tag (qid, tid) values(142, 36);"
143,17,,"insert into question_tag (qid, tid) values(143, 17);"
144,38,,"insert into question_tag (qid, tid) values(144, 38);"
145,25,,"insert into question_tag (qid, tid) values(145, 25);"
146,31,,"insert into question_tag (qid, tid) values(146, 31);"
147,27,,"insert into question_tag (qid, tid) values(147, 27);"
148,36,,"insert into question_tag (qid, tid) values(148, 36);"
149,35,,"insert into question_tag (qid, tid) values(149, 35);"
150,41,,"insert into question_tag (qid, tid) values(150, 41);"
151,21,,"insert into question_tag (qid, tid) values(151, 21);"
152,30,,"insert into question_tag (qid, tid) values(152, 30);"
153,32,,"insert into question_tag (qid, tid) values(153, 32);"
154,5,,"insert into question_tag (qid, tid) values(154, 5);"
155,32,,"insert into question_tag (qid, tid) values(155, 32);"
156,22,,"insert into question_tag (qid, tid) values(156, 22);"
157,32,,"insert into question_tag (qid, tid) values(157, 32);"
158,39,,"insert into question_tag (qid, tid) values(158, 39);"
159,15,,"insert into question_tag (qid, tid) values(159, 15);"
160,2,,"insert into question_tag (qid, tid) values(160, 2);"
161,7,,"insert into question_tag (qid, tid) values(161, 7);"
162,31,,"insert into question_tag (qid, tid) values(162, 31);"
163,14,,"insert into question_tag (qid, tid) values(163, 14);"
164,28,,"insert into question_tag (qid, tid) values(164, 28);"
165,3,,"insert into question_tag (qid, tid) values(165, 3);"
166,16,,"insert into question_tag (qid, tid) values(166, 16);"
167,12,,"insert into question_tag (qid, tid) values(167, 12);"
168,36,,"insert into question_tag (qid, tid) values(168, 36);"
169,22,,"insert into question_tag (qid, tid) values(169, 22);"
170,36,,"insert into question_tag (qid, tid) values(170, 36);"
171,39,,"insert into question_tag (qid, tid) values(171, 39);"
172,13,,"insert into question_tag (qid, tid) values(172, 13);"
173,32,,"insert into question_tag (qid, tid) values(173, 32);"
174,15,,"insert into question_tag (qid, tid) values(174, 15);"
175,17,,"insert into question_tag (qid, tid) values(175, 17);"
176,37,,"insert into question_tag (qid, tid) values(176, 37);"
177,22,,"insert into question_tag (qid, tid) values(177, 22);"
178,28,,"insert into question_tag (qid, tid) values(178, 28);"
179,6,,"insert into question_tag (qid, tid) values(179, 6);"
180,33,,"insert into question_tag (qid, tid) values(180, 33);"
181,34,,"insert into question_tag (qid, tid) values(181, 34);"
182,10,,"insert into question_tag (qid, tid) values(182, 10);"
183,10,,"insert into question_tag (qid, tid) values(183, 10);"
184,20,,"insert into question_tag (qid, tid) values(184, 20);"
185,37,,"insert into question_tag (qid, tid) values(185, 37);"
186,27,,"insert into question_tag (qid, tid) values(186, 27);"
187,41,,"insert into question_tag (qid, tid) values(187, 41);"
188,1,,"insert into question_tag (qid, tid) values(188, 1);"
189,1,,"insert into question_tag (qid, tid) values(189, 1);"
190,36,,"insert into question_tag (qid, tid) values(190, 36);"
191,21,,"insert into question_tag (qid, tid) values(191, 21);"
192,11,,"insert into question_tag (qid, tid) values(192, 11);"
193,36,,"insert into question_tag (qid, tid) values(193, 36);"
194,37,,"insert into question_tag (qid, tid) values(194, 37);"
195,38,,"insert into question_tag (qid, tid) values(195, 38);"
196,23,,"insert into question_tag (qid, tid) values(196, 23);"
197,31,,"insert into question_tag (qid, tid) values(197, 31);"
198,13,,"insert into question_tag (qid, tid) values(198, 13);"
199,28,,"insert into question_tag (qid, tid) values(199, 28);"
200,9,,"insert into question_tag (qid, tid) values(200, 9);"
201,19,,"insert into question_tag (qid, tid) values(201, 19);"
202,38,,"insert into question_tag (qid, tid) values(202, 38);"
203,3,,"insert into question_tag (qid, tid) values(203, 3);"
204,41,,"insert into question_tag (qid, tid) values(204, 41);"
205,11,,"insert into question_tag (qid, tid) values(205, 11);"
206,2,,"insert into question_tag (qid, tid) values(206, 2);"
207,25,,"insert into question_tag (qid, tid) values(207, 25);"
208,12,,"insert into question_tag (qid, tid) values(208, 12);"
209,3,,"insert into question_tag (qid, tid) values(209, 3);"
210,28,,"insert into question_tag (qid, tid) values(210, 28);"
211,16,,"insert into question_tag (qid, tid) values(211, 16);"
212,20,,"insert into question_tag (qid, tid) values(212, 20);"
213,32,,"insert into question_tag (qid, tid) values(213, 32);"
214,8,,"insert into question_tag (qid, tid) values(214, 8);"
215,6,,"insert into question_tag (qid, tid) values(215, 6);"
216,21,,"insert into question_tag (qid, tid) values(216, 21);"
217,24,,"insert into question_tag (qid, tid) values(217, 24);"
218,37,,"insert into question_tag (qid, tid) values(218, 37);"
219,37,,"insert into question_tag (qid, tid) values(219, 37);"
220,4,,"insert into question_tag (qid, tid) values(220, 4);"
221,29,,"insert into question_tag (qid, tid) values(221, 29);"
222,40,,"insert into question_tag (qid, tid) values(222, 40);"
223,16,,"insert into question_tag (qid, tid) values(223, 16);"
224,11,,"insert into question_tag (qid, tid) values(224, 11);"
225,25,,"insert into question_tag (qid, tid) values(225, 25);"
226,9,,"insert into question_tag (qid, tid) values(226, 9);"
227,6,,"insert into question_tag (qid, tid) values(227, 6);"
228,30,,"insert into question_tag (qid, tid) values(228, 30);"
229,11,,"insert into question_tag (qid, tid) values(229, 11);"
230,35,,"insert into question_tag (qid, tid) values(230, 35);"
231,40,,"insert into question_tag (qid, tid) values(231, 40);"
232,17,,"insert into question_tag (qid, tid) values(232, 17);"
233,17,,"insert into question_tag (qid, tid) values(233, 17);"
234,39,,"insert into question_tag (qid, tid) values(234, 39);"
235,33,,"insert into question_tag (qid, tid) values(235, 33);"
236,32,,"insert into question_tag (qid, tid) values(236, 32);"
237,11,,"insert into question_tag (qid, tid) values(237, 11);"
238,11,,"insert into question_tag (qid, tid) values(238, 11);"
239,39,,"insert into question_tag (qid, tid) values(239, 39);"
240,30,,"insert into question_tag (qid, tid) values(240, 30);"
241,33,,"insert into question_tag (qid, tid) values(241, 33);"
242,30,,"insert into question_tag (qid, tid) values(242, 30);"
243,7,,"insert into question_tag (qid, tid) values(243, 7);"
244,6,,"insert into question_tag (qid, tid) values(244, 6);"
245,8,,"insert into question_tag (qid, tid) values(245, 8);"
246,10,,"insert into question_tag (qid, tid) values(246, 10);"
247,16,,"insert into question_tag (qid, tid) values(247, 16);"
248,39,,"insert into question_tag (qid, tid) values(248, 39);"
249,32,,"insert into question_tag (qid, tid) values(249, 32);"
250,31,,"insert into question_tag (qid, tid) values(250, 31);"
251,2,,"insert into question_tag (qid, tid) values(251, 2);"
252,9,,"insert into question_tag (qid, tid) values(252, 9);"
253,32,,"insert into question_tag (qid, tid) values(253, 32);"
254,21,,"insert into question_tag (qid, tid) values(254, 21);"
255,23,,"insert into question_tag (qid, tid) values(255, 23);"
256,5,,"insert into question_tag (qid, tid) values(256, 5);"
257,12,,"insert into question_tag (qid, tid) values(257, 12);"
258,17,,"insert into question_tag (qid, tid) values(258, 17);"
259,40,,"insert into question_tag (qid, tid) values(259, 40);"
260,22,,"insert into question_tag (qid, tid) values(260, 22);"
261,31,,"insert into question_tag (qid, tid) values(261, 31);"
262,29,,"insert into question_tag (qid, tid) values(262, 29);"
263,17,,"insert into question_tag (qid, tid) values(263, 17);"
264,7,,"insert into question_tag (qid, tid) values(264, 7);"
265,38,,"insert into question_tag (qid, tid) values(265, 38);"
266,4,,"insert into question_tag (qid, tid) values(266, 4);"
267,34,,"insert into question_tag (qid, tid) values(267, 34);"
268,26,,"insert into question_tag (qid, tid) values(268, 26);"
269,21,,"insert into question_tag (qid, tid) values(269, 21);"
270,38,,"insert into question_tag (qid, tid) values(270, 38);"
271,28,,"insert into question_tag (qid, tid) values(271, 28);"
272,29,,"insert into question_tag (qid, tid) values(272, 29);"
273,15,,"insert into question_tag (qid, tid) values(273, 15);"
274,17,,"insert into question_tag (qid, tid) values(274, 17);"
275,6,,"insert into question_tag (qid, tid) values(275, 6);"
276,24,,"insert into question_tag (qid, tid) values(276, 24);"
277,29,,"insert into question_tag (qid, tid) values(277, 29);"
278,23,,"insert into question_tag (qid, tid) values(278, 23);"
279,11,,"insert into question_tag (qid, tid) values(279, 11);"
280,12,,"insert into question_tag (qid, tid) values(280, 12);"
281,29,,"insert into question_tag (qid, tid) values(281, 29);"
282,10,,"insert into question_tag (qid, tid) values(282, 10);"
283,32,,"insert into question_tag (qid, tid) values(283, 32);"
284,3,,"insert into question_tag (qid, tid) values(284, 3);"
285,24,,"insert into question_tag (qid, tid) values(285, 24);"
286,26,,"insert into question_tag (qid, tid) values(286, 26);"
287,34,,"insert into question_tag (qid, tid) values(287, 34);"
288,26,,"insert into question_tag (qid, tid) values(288, 26);"
289,24,,"insert into question_tag (qid, tid) values(289, 24);"
290,26,,"insert into question_tag (qid, tid) values(290, 26);"
291,8,,"insert into question_tag (qid, tid) values(291, 8);"
292,27,,"insert into question_tag (qid, tid) values(292, 27);"
293,32,,"insert into question_tag (qid, tid) values(293, 32);"
294,16,,"insert into question_tag (qid, tid) values(294, 16);"
295,4,,"insert into question_tag (qid, tid) values(295, 4);"
296,41,,"insert into question_tag (qid, tid) values(296, 41);"
297,33,,"insert into question_tag (qid, tid) values(297, 33);"
298,20,,"insert into question_tag (qid, tid) values(298, 20);"
299,20,,"insert into question_tag (qid, tid) values(299, 20);"
300,6,,"insert into question_tag (qid, tid) values(300, 6);"
301,41,,"insert into question_tag (qid, tid) values(301, 41);"
302,3,,"insert into question_tag (qid, tid) values(302, 3);"
303,7,,"insert into question_tag (qid, tid) values(303, 7);"
304,19,,"insert into question_tag (qid, tid) values(304, 19);"
305,32,,"insert into question_tag (qid, tid) values(305, 32);"
306,5,,"insert into question_tag (qid, tid) values(306, 5);"
307,18,,"insert into question_tag (qid, tid) values(307, 18);"
308,31,,"insert into question_tag (qid, tid) values(308, 31);"
309,33,,"insert into question_tag (qid, tid) values(309, 33);"
310,6,,"insert into question_tag (qid, tid) values(310, 6);"
311,8,,"insert into question_tag (qid, tid) values(311, 8);"
312,6,,"insert into question_tag (qid, tid) values(312, 6);"
313,34,,"insert into question_tag (qid, tid) values(313, 34);"
314,24,,"insert into question_tag (qid, tid) values(314, 24);"
315,38,,"insert into question_tag (qid, tid) values(315, 38);"
316,39,,"insert into question_tag (qid, tid) values(316, 39);"
317,26,,"insert into question_tag (qid, tid) values(317, 26);"
318,15,,"insert into question_tag (qid, tid) values(318, 15);"
319,17,,"insert into question_tag (qid, tid) values(319, 17);"
320,3,,"insert into question_tag (qid, tid) values(320, 3);"
321,34,,"insert into question_tag (qid, tid) values(321, 34);"
322,30,,"insert into question_tag (qid, tid) values(322, 30);"
323,32,,"insert into question_tag (qid, tid) values(323, 32);"
324,10,,"insert into question_tag (qid, tid) values(324, 10);"
325,32,,"insert into question_tag (qid, tid) values(325, 32);"
326,14,,"insert into question_tag (qid, tid) values(326, 14);"
327,15,,"insert into question_tag (qid, tid) values(327, 15);"
328,15,,"insert into question_tag (qid, tid) values(328, 15);"
329,9,,"insert into question_tag (qid, tid) values(329, 9);"
330,20,,"insert into question_tag (qid, tid) values(330, 20);"
331,22,,"insert into question_tag (qid, tid) values(331, 22);"
332,5,,"insert into question_tag (qid, tid) values(332, 5);"
333,4,,"insert into question_tag (qid, tid) values(333, 4);"
334,8,,"insert into question_tag (qid, tid) values(334, 8);"
335,34,,"insert into question_tag (qid, tid) values(335, 34);"
336,10,,"insert into question_tag (qid, tid) values(336, 10);"
337,35,,"insert into question_tag (qid, tid) values(337, 35);"
338,41,,"insert into question_tag (qid, tid) values(338, 41);"
339,16,,"insert into question_tag (qid, tid) values(339, 16);"
340,11,,"insert into question_tag (qid, tid) values(340, 11);"
341,25,,"insert into question_tag (qid, tid) values(341, 25);"
342,41,,"insert into question_tag (qid, tid) values(342, 41);"
343,31,,"insert into question_tag (qid, tid) values(343, 31);"
344,19,,"insert into question_tag (qid, tid) values(344, 19);"
345,11,,"insert into question_tag (qid, tid) values(345, 11);"
346,31,,"insert into question_tag (qid, tid) values(346, 31);"
347,23,,"insert into question_tag (qid, tid) values(347, 23);"
348,29,,"insert into question_tag (qid, tid) values(348, 29);"
349,30,,"insert into question_tag (qid, tid) values(349, 30);"
350,19,,"insert into question_tag (qid, tid) values(350, 19);"
351,31,,"insert into question_tag (qid, tid) values(351, 31);"
352,26,,"insert into question_tag (qid, tid) values(352, 26);"
353,19,,"insert into question_tag (qid, tid) values(353, 19);"
354,28,,"insert into question_tag (qid, tid) values(354, 28);"
355,2,,"insert into question_tag (qid, tid) values(355, 2);"
356,33,,"insert into question_tag (qid, tid) values(356, 33);"
357,11,,"insert into question_tag (qid, tid) values(357, 11);"
358,9,,"insert into question_tag (qid, tid) values(358, 9);"
359,23,,"insert into question_tag (qid, tid) values(359, 23);"
360,2,,"insert into question_tag (qid, tid) values(360, 2);"
361,14,,"insert into question_tag (qid, tid) values(361, 14);"
362,29,,"insert into question_tag (qid, tid) values(362, 29);"
363,10,,"insert into question_tag (qid, tid) values(363, 10);"
364,20,,"insert into question_tag (qid, tid) values(364, 20);"
365,8,,"insert into question_tag (qid, tid) values(365, 8);"
366,12,,"insert into question_tag (qid, tid) values(366, 12);"
367,24,,"insert into question_tag (qid, tid) values(367, 24);"
368,32,,"insert into question_tag (qid, tid) values(368, 32);"
369,26,,"insert into question_tag (qid, tid) values(369, 26);"
370,32,,"insert into question_tag (qid, tid) values(370, 32);"
371,10,,"insert into question_tag (qid, tid) values(371, 10);"
372,6,,"insert into question_tag (qid, tid) values(372, 6);"
373,12,,"insert into question_tag (qid, tid) values(373, 12);"
374,35,,"insert into question_tag (qid, tid) values(374, 35);"
375,19,,"insert into question_tag (qid, tid) values(375, 19);"
376,9,,"insert into question_tag (qid, tid) values(376, 9);"
377,9,,"insert into question_tag (qid, tid) values(377, 9);"
378,14,,"insert into question_tag (qid, tid) values(378, 14);"
379,34,,"insert into question_tag (qid, tid) values(379, 34);"
380,31,,"insert into question_tag (qid, tid) values(380, 31);"
381,7,,"insert into question_tag (qid, tid) values(381, 7);"
382,6,,"insert into question_tag (qid, tid) values(382, 6);"
383,13,,"insert into question_tag (qid, tid) values(383, 13);"
384,30,,"insert into question_tag (qid, tid) values(384, 30);"
385,4,,"insert into question_tag (qid, tid) values(385, 4);"
386,4,,"insert into question_tag (qid, tid) values(386, 4);"
387,11,,"insert into question_tag (qid, tid) values(387, 11);"
388,29,,"insert into question_tag (qid, tid) values(388, 29);"
389,10,,"insert into question_tag (qid, tid) values(389, 10);"
390,21,,"insert into question_tag (qid, tid) values(390, 21);"
391,32,,"insert into question_tag (qid, tid) values(391, 32);"
392,1,,"insert into question_tag (qid, tid) values(392, 1);"
393,12,,"insert into question_tag (qid, tid) values(393, 12);"
394,15,,"insert into question_tag (qid, tid) values(394, 15);"
395,17,,"insert into question_tag (qid, tid) values(395, 17);"
396,8,,"insert into question_tag (qid, tid) values(396, 8);"
397,15,,"insert into question_tag (qid, tid) values(397, 15);"
398,40,,"insert into question_tag (qid, tid) values(398, 40);"
399,11,,"insert into question_tag (qid, tid) values(399, 11);"
400,41,,"insert into question_tag (qid, tid) values(400, 41);"
401,32,,"insert into question_tag (qid, tid) values(401, 32);"
402,16,,"insert into question_tag (qid, tid) values(402, 16);"
403,23,,"insert into question_tag (qid, tid) values(403, 23);"
404,21,,"insert into question_tag (qid, tid) values(404, 21);"
405,3,,"insert into question_tag (qid, tid) values(405, 3);"
406,31,,"insert into question_tag (qid, tid) values(406, 31);"
407,30,,"insert into question_tag (qid, tid) values(407, 30);"
408,31,,"insert into question_tag (qid, tid) values(408, 31);"
409,8,,"insert into question_tag (qid, tid) values(409, 8);"
410,13,,"insert into question_tag (qid, tid) values(410, 13);"
411,31,,"insert into question_tag (qid, tid) values(411, 31);"
412,6,,"insert into question_tag (qid, tid) values(412, 6);"
413,19,,"insert into question_tag (qid, tid) values(413, 19);"
414,19,,"insert into question_tag (qid, tid) values(414, 19);"
415,19,,"insert into question_tag (qid, tid) values(415, 19);"
416,8,,"insert into question_tag (qid, tid) values(416, 8);"
417,17,,"insert into question_tag (qid, tid) values(417, 17);"
418,9,,"insert into question_tag (qid, tid) values(418, 9);"
419,19,,"insert into question_tag (qid, tid) values(419, 19);"
420,26,,"insert into question_tag (qid, tid) values(420, 26);"
421,13,,"insert into question_tag (qid, tid) values(421, 13);"
422,18,,"insert into question_tag (qid, tid) values(422, 18);"
423,8,,"insert into question_tag (qid, tid) values(423, 8);"
424,41,,"insert into question_tag (qid, tid) values(424, 41);"
425,40,,"insert into question_tag (qid, tid) values(425, 40);"
426,17,,"insert into question_tag (qid, tid) values(426, 17);"
427,3,,"insert into question_tag (qid, tid) values(427, 3);"
428,11,,"insert into question_tag (qid, tid) values(428, 11);"
429,1,,"insert into question_tag (qid, tid) values(429, 1);"
430,34,,"insert into question_tag (qid, tid) values(430, 34);"
431,33,,"insert into question_tag (qid, tid) values(431, 33);"
432,40,,"insert into question_tag (qid, tid) values(432, 40);"
433,1,,"insert into question_tag (qid, tid) values(433, 1);"
434,4,,"insert into question_tag (qid, tid) values(434, 4);"
435,25,,"insert into question_tag (qid, tid) values(435, 25);"
436,34,,"insert into question_tag (qid, tid) values(436, 34);"
437,15,,"insert into question_tag (qid, tid) values(437, 15);"
438,38,,"insert into question_tag (qid, tid) values(438, 38);"
439,25,,"insert into question_tag (qid, tid) values(439, 25);"
440,41,,"insert into question_tag (qid, tid) values(440, 41);"
441,29,,"insert into question_tag (qid, tid) values(441, 29);"
442,19,,"insert into question_tag (qid, tid) values(442, 19);"
443,3,,"insert into question_tag (qid, tid) values(443, 3);"
444,15,,"insert into question_tag (qid, tid) values(444, 15);"
445,32,,"insert into question_tag (qid, tid) values(445, 32);"
446,29,,"insert into question_tag (qid, tid) values(446, 29);"
447,10,,"insert into question_tag (qid, tid) values(447, 10);"
448,36,,"insert into question_tag (qid, tid) values(448, 36);"
449,17,,"insert into question_tag (qid, tid) values(449, 17);"
450,13,,"insert into question_tag (qid, tid) values(450, 13);"
451,23,,"insert into question_tag (qid, tid) values(451, 23);"
452,17,,"insert into question_tag (qid, tid) values(452, 17);"
453,28,,"insert into question_tag (qid, tid) values(453, 28);"
454,39,,"insert into question_tag (qid, tid) values(454, 39);"
455,29,,"insert into question_tag (qid, tid) values(455, 29);"
456,39,,"insert into question_tag (qid, tid) values(456, 39);"
457,30,,"insert into question_tag (qid, tid) values(457, 30);"
458,36,,"insert into question_tag (qid, tid) values(458, 36);"
459,13,,"insert into question_tag (qid, tid) values(459, 13);"
460,32,,"insert into question_tag (qid, tid) values(460, 32);"
461,19,,"insert into question_tag (qid, tid) values(461, 19);"
462,7,,"insert into question_tag (qid, tid) values(462, 7);"
463,4,,"insert into question_tag (qid, tid) values(463, 4);"
464,28,,"insert into question_tag (qid, tid) values(464, 28);"
465,28,,"insert into question_tag (qid, tid) values(465, 28);"
466,36,,"insert into question_tag (qid, tid) values(466, 36);"
467,15,,"insert into question_tag (qid, tid) values(467, 15);"
468,14,,"insert into question_tag (qid, tid) values(468, 14);"
469,37,,"insert into question_tag (qid, tid) values(469, 37);"
470,13,,"insert into question_tag (qid, tid) values(470, 13);"
471,20,,"insert into question_tag (qid, tid) values(471, 20);"
472,12,,"insert into question_tag (qid, tid) values(472, 12);"
473,18,,"insert into question_tag (qid, tid) values(473, 18);"
474,38,,"insert into question_tag (qid, tid) values(474, 38);"
475,18,,"insert into question_tag (qid, tid) values(475, 18);"
476,34,,"insert into question_tag (qid, tid) values(476, 34);"
477,18,,"insert into question_tag (qid, tid) values(477, 18);"
478,19,,"insert into question_tag (qid, tid) values(478, 19);"
479,12,,"insert into question_tag (qid, tid) values(479, 12);"
480,28,,"insert into question_tag (qid, tid) values(480, 28);"
481,9,,"insert into question_tag (qid, tid) values(481, 9);"
482,35,,"insert into question_tag (qid, tid) values(482, 35);"
